run_id,timestamp,symbol,strategy,side,mode,event,entry_exit,stop,size,signal_price,intended_price,fill_price,slippage,spread_cost,execution_cost,pnl,r_multiple,session_bucket,client_order_id,order_status,filled_qty,remaining_qty,rejection_reason,notes
,2026-04-07T15:45:00+00:00,AAPL,momentum,sell,backtest,stop_loss,round_trip,250.28415,2.8585,248.535,248.535,248.53496,0.213105,0.426211,0.639316,2.5,0.47,open,,,2.8585,0.0,,entry=248.435586
,2026-04-13T16:15:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,260.775312,1.7463,257.905,257.905,257.918126,0.18012,0.360241,0.540361,-0.2,-0.04,open,,,1.7463,0.0,,entry=257.801838
,2026-04-14T14:15:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,256.951013,2.2999,259.13,259.13,259.129959,0.178813,0.357626,0.53644,2.51,0.48,close,,,2.2999,0.0,,entry=259.233652
,2026-04-15T17:45:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,260.556975,2.0907,262.96,262.96,264.334224,0.165238,0.330476,0.495714,3.95,0.75,midday,,,2.0907,0.0,,entry=263.065184
,2026-04-16T13:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,265.03575,3.7879,266.31,266.31,264.929736,0.402537,0.805074,1.207611,-5.63,-1.08,close,,,3.7879,0.0,,entry=266.416524
,2026-04-17T17:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.554425,2.452,271.6,271.6,270.471768,0.265885,0.53177,0.797655,-3.03,-0.57,midday,,,2.452,0.0,,entry=271.70864
,2026-04-20T15:00:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.654175,1.8211,272.4,272.4,271.871208,0.198274,0.396548,0.594822,-1.16,-0.22,open,,,1.8211,0.0,,entry=272.50896
,2026-04-21T18:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,267.84795,2.959,266.16,266.16,266.936732,0.315423,0.630847,0.94627,-2.61,-0.49,midday,,,2.959,0.0,,entry=266.053536
,2026-04-22T18:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,267.7689,1.6996,270.7,270.7,272.59092,0.184713,0.369425,0.554138,3.03,0.59,open,,,1.6996,0.0,,entry=270.80828
,2026-04-24T16:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,273.677487,2.0333,271.22,271.22,271.70864,0.220743,0.441486,0.66223,-1.21,-0.23,open,,,2.0333,0.0,,entry=271.111512
,2026-05-01T14:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,277.694025,1.099,282.235,282.235,282.234955,0.093065,0.186131,0.279196,2.5,0.49,open,,,1.099,0.0,,entry=282.347894
,2026-05-04T14:30:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,281.3015,1.0897,276.71,276.71,277.851096,0.120837,0.241674,0.36251,-1.36,-0.27,open,,,1.0897,0.0,,entry=276.599316
,2026-04-07T15:45:00+00:00,AAPL,momentum,sell,backtest,stop_loss,round_trip,250.28415,2.8585,248.535,248.535,248.53496,0.213105,0.426211,0.639316,2.5,0.47,open,,,2.8585,0.0,,entry=248.435586
,2026-04-13T16:15:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,260.775312,1.7463,257.905,257.905,257.918126,0.18012,0.360241,0.540361,-0.2,-0.04,open,,,1.7463,0.0,,entry=257.801838
,2026-04-14T14:15:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,256.951013,2.2999,259.13,259.13,259.129959,0.178813,0.357626,0.53644,2.51,0.48,close,,,2.2999,0.0,,entry=259.233652
,2026-04-15T17:45:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,260.556975,2.0907,262.96,262.96,264.334224,0.165238,0.330476,0.495714,3.95,0.75,midday,,,2.0907,0.0,,entry=263.065184
,2026-04-16T13:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,265.03575,3.7879,266.31,266.31,264.929736,0.402537,0.805074,1.207611,-5.63,-1.08,close,,,3.7879,0.0,,entry=266.416524
,2026-04-17T17:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.554425,2.452,271.6,271.6,270.471768,0.265885,0.53177,0.797655,-3.03,-0.57,midday,,,2.452,0.0,,entry=271.70864
,2026-04-20T15:00:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,269.654175,1.8211,272.4,272.4,271.871208,0.198274,0.396548,0.594822,-1.16,-0.22,open,,,1.8211,0.0,,entry=272.50896
,2026-04-21T18:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,267.84795,2.959,266.16,266.16,266.936732,0.315423,0.630847,0.94627,-2.61,-0.49,midday,,,2.959,0.0,,entry=266.053536
,2026-04-22T18:15:00+00:00,AAPL,momentum,buy,backtest,target_or_structure,round_trip,267.7689,1.6996,270.7,270.7,272.59092,0.184713,0.369425,0.554138,3.03,0.59,open,,,1.6996,0.0,,entry=270.80828
,2026-04-24T16:00:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,273.677487,2.0333,271.22,271.22,271.70864,0.220743,0.441486,0.66223,-1.21,-0.23,open,,,2.0333,0.0,,entry=271.111512
,2026-05-01T14:30:00+00:00,AAPL,momentum,buy,backtest,stop_loss,round_trip,277.694025,1.099,282.235,282.235,282.234955,0.093065,0.186131,0.279196,2.5,0.49,open,,,1.099,0.0,,entry=282.347894
,2026-05-04T14:30:00+00:00,AAPL,momentum,sell,backtest,target_or_structure,round_trip,281.3015,1.0897,276.71,276.71,277.851096,0.120837,0.241674,0.36251,-1.36,-0.27,open,,,1.0897,0.0,,entry=276.599316
,2026-05-05T16:00:00+00:00,AAPL,momentum,buy,backtest,end_of_data,round_trip,275.818725,1.7402,278.69,278.69,280.247856,0.145784,0.291567,0.437351,3.85,0.74,open,,,1.7402,0.0,,entry=278.801476
,2026-04-07T15:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,372.383637,2.5543,370.42,370.42,369.367688,0.283539,0.567078,0.850617,3.85,0.71,open,,,2.5543,0.0,,entry=370.271832
,2026-04-08T13:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,369.823125,1.9539,372.4,372.4,377.84943,0.219388,0.438776,0.658163,7.84,1.47,close,,,1.9539,0.0,,entry=372.54896
,2026-04-08T19:45:00+00:00,MSFT,momentum,sell,backtest,stop_loss,round_trip,373.47135,2.561,371.49,371.49,373.620739,0.381569,0.763138,1.144708,-5.84,-1.07,close,,,2.561,0.0,,entry=371.341404
,2026-04-09T15:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,373.366087,1.4068,369.78,369.78,370.368088,0.208206,0.416413,0.624619,-1.04,-0.2,open,,,1.4068,0.0,,entry=369.632088
,2026-04-13T19:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,370.3917,1.248,374.43,374.43,382.802734,0.141251,0.282501,0.423752,7.74,1.48,open,,,1.248,0.0,,entry=374.579772
,2026-04-14T12:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,381.70335,1.9334,384.33,384.33,389.888478,0.224024,0.448048,0.672072,7.91,1.47,close,,,1.9334,0.0,,entry=384.483732
,2026-04-14T15:00:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,385.623525,0.7232,392.7,392.7,390.29382,0.113275,0.22655,0.339824,-1.85,-0.35,open,,,0.7232,0.0,,entry=392.85708
,2026-04-15T19:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,395.7681,0.812,402.06,402.06,411.13548,0.098692,0.197384,0.296076,6.24,1.19,open,,,0.812,0.0,,entry=402.220824
,2026-04-17T16:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,424.944975,1.5742,428.21,428.21,426.859188,0.269264,0.538528,0.807791,-2.4,-0.44,open,,,1.5742,0.0,,entry=428.381284
,2026-04-21T17:00:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,419.174438,1.1171,423.765,423.765,424.38018,0.189531,0.379061,0.568592,0.5,0.09,open,,,1.1171,0.0,,entry=423.934506
,2026-04-22T16:45:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,422.630775,0.9146,428.24,428.24,430.457748,0.157105,0.314209,0.471314,1.87,0.35,open,,,0.9146,0.0,,entry=428.411296
,2026-04-23T14:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,422.704125,0.969,417.4,417.4,421.76864,0.162598,0.325196,0.487795,-4.39,-0.83,open,,,0.969,0.0,,entry=417.23304
,2026-04-27T13:30:00+00:00,MSFT,momentum,buy,backtest,stop_loss,round_trip,422.8203,2.4107,424.59,424.59,424.589932,0.307113,0.614226,0.921339,2.13,0.46,close,,,2.4107,0.0,,entry=424.759836
,2026-04-30T17:45:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,411.360837,0.8114,405.04,405.04,402.841072,0.098403,0.196807,0.29521,3.46,0.66,open,,,0.8114,0.0,,entry=404.877984
,2026-05-01T13:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,407.049825,2.2919,409.295,409.295,413.444556,0.282404,0.564808,0.847211,7.33,1.33,close,,,2.2919,0.0,,entry=409.458718
,2026-05-05T16:00:00+00:00,MSFT,momentum,sell,backtest,end_of_data,round_trip,417.511175,0.8121,411.13,411.13,409.96392,0.133335,0.266671,0.400006,0.81,0.15,open,,,0.8121,0.0,,entry=410.965548
,2026-04-08T13:00:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,218.602125,1.7243,221.61,221.61,227.800525,0.115722,0.231444,0.347166,7.93,1.49,close,,,1.7243,0.0,,entry=221.698644
,2026-04-10T15:45:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,236.457375,0.563,245.74,245.74,245.071932,0.055276,0.110553,0.165829,-0.43,-0.08,open,,,0.563,0.0,,entry=245.838296
,2026-04-15T13:00:00+00:00,AMD,momentum,buy,backtest,stop_loss,round_trip,253.90365,4.0298,255.2,255.2,253.802089,0.410317,0.820634,1.230952,-6.04,-1.07,close,,,4.0298,0.0,,entry=255.30208
,2026-04-16T13:30:00+00:00,AMD,momentum,buy,backtest,target_or_structure,round_trip,256.028325,2.489,258.115,258.115,262.493049,0.19385,0.387701,0.581551,8.05,1.48,close,,,2.489,0.0,,entry=258.218246
